feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV072	culture_day	d7	-0.00702467187926097	0.000783977347507033	28	21	2.99145160441372e-08	3.94871611782611e-06
ASV027	culture_day	d7	-0.0142639465104653	0.00213533033723917	28	28	2.18440432997744e-06	0.000103409803769062
ASV035	culture_day	d7	-0.00975049667460944	0.00146755476043755	28	22	2.35022281293323e-06	0.000103409803769062
ASV039	culture_day	d7	-0.00802298168147952	0.00123550014565972	28	28	3.19797482161333e-06	0.00010553316911324
ASV007	culture_day	d7	-0.188106743134699	0.0304629174842105	28	28	6.20585711194812e-06	0.00016383462775543
ASV018	culture_day	d7	-0.0254046626129034	0.00426859477462824	28	28	9.95380374989816e-06	0.000218983682497759
ASV002	culture_day	d7	-0.146303990420963	0.0271137322896667	28	28	3.30878866877636e-05	0.000485289004753867
ASV030	culture_day	d7	-0.0152834491475749	0.00280468349853682	28	28	2.94397032322206e-05	0.000485289004753867
ASV034	culture_day	d7	0.0171175736350544	0.00316537399163031	28	28	3.22411751530141e-05	0.000485289004753867
ASV024	culture_day	d7	-0.0288894756572855	0.00563687240004601	28	28	6.01687659226076e-05	0.00079422771017842
ASV012	culture_day	d7	0.0470499702625307	0.00974927937190294	28	28	0.000117400002628037	0.00140880003153645
ASV045	culture_day	d7	-0.0105476051767868	0.00225477926988293	28	28	0.000163902936486295	0.00180293230134924
ASV016	culture_day	d7	0.0368214811373515	0.00852022380319739	28	28	0.000367780230479867	0.00373438387871865
ASV048	culture_day	d7	0.0127889703404668	0.00322595350885112	28	28	0.000831103223900694	0.00783611611106369
ASV056	culture_day	d7	-0.00594806402300166	0.00156430183687158	28	26	0.00120322905966842	0.0105884157250821
ASV006	culture_day	d7	0.134594625737161	0.0371223722324017	28	12	0.00180002156419255	0.0139766380278481
ASV090	culture_day	d7	0.00415696686932334	0.00114036422807382	28	21	0.00172147199227761	0.0139766380278481
ASV055	culture_day	d7	-0.00588767041027491	0.0016935895991002	28	21	0.00252682583919018	0.0185300561540613
ASV023	culture_day	d7	-0.0277306703710385	0.00806700522084106	28	28	0.0027597179368379	0.0191727772454001
ASV073	culture_day	d7	0.00363937205206765	0.00107241699194168	28	16	0.00304815597828069	0.0201178294566526
ASV071	culture_day	d7	-0.00361458543091196	0.00108495083232476	28	9	0.00350672850438529	0.0220422934561361
ASV041	culture_day	d7	-0.00877434271849548	0.00266537321364451	28	28	0.00383402416181192	0.0230041449708715
ASV021	culture_day	d7	-0.00412464037928012	0.00127492595799488	28	28	0.0043561816591131	0.0239589991251221
ASV029	culture_day	d7	0.0197409186431542	0.00606828133917686	28	28	0.00418416388692388	0.0239589991251221
ASV068	culture_day	d7	-0.00383524550310367	0.00124119129258131	28	27	0.00602833649760081	0.0318296167073323
ASV086	culture_day	d7	0.00131079117732292	0.000450605686433365	28	14	0.00899980222106929	0.0456913035838902
ASV009	culture_day	d7	-0.00812740322534337	0.00284461803044997	28	28	0.0100839748104156	0.0481274753642734
ASV063	culture_day	d7	-0.00793158087054796	0.00278155381675431	28	27	0.0102088584106035	0.0481274753642734
ASV044	culture_day	d7	-0.00954718245523956	0.00339774273396798	28	28	0.0111808016899088	0.0508919249333779
ASV095	culture_day	d7	0.00622947306573057	0.00228153232555687	28	10	0.0132875389791157	0.0584651715081092
ASV008	culture_day	d7	0.112718327790687	0.0419125183710502	28	28	0.0145181955778019	0.0618194134280597
ASV051	culture_day	d7	-0.00852697876451328	0.00320524177399152	28	28	0.0154545235303223	0.0637499095625793
ASV015	culture_day	d7	0.0212226792566841	0.00833215348631684	28	28	0.019680460999769	0.076406495646162
ASV081	culture_day	d7	-0.00355773925825395	0.00138957734986511	28	23	0.0191359524411164	0.076406495646162
ASV028	exposure	dinp	0.0141527010951002	0.00570553910818637	28	28	0.0226506231685393	0.0854252073784911
ASV067	culture_day	d7	0.00245619109100538	0.00104013687646587	28	19	0.0290387077042088	0.106475261582099
ASV028	culture_day	d7	0.0131372190102976	0.00570553910818637	28	28	0.0327816244323315	0.116950660136966
ASV020	culture_day	d7	-0.0107613285215268	0.00481262243324094	28	28	0.0375409037152243	0.130405244484463
ASV005	culture_day	d7	0.0140394209606825	0.00663598564012459	28	22	0.04780722230984	0.161809060125612
ASV032	culture_day	d7	-0.00338204402389602	0.00175096039181846	28	28	0.0684715005241647	0.225955951729743
ASV001	culture_day	d7	0.00530626135712787	0.00277048159411756	28	28	0.0706317829561292	0.227399886590465
